Original_Text,T1,T2,T3,T4,T5
i had gone to meet my friend lei ren,I went to meet my friend.,I was going to meet my friend.,I went to see my friend lei ren.,I went to meet a friend.,I had gone to meet my friend.
i had gone to meet my friend fang ruan,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet my friend fang.,I went to meet a friend.
i had gone to meet my friend qing-nan u,I went to meet my friend.,I went to meet my friend qing-nan.,I went to see my friend qing-nan.,I had gone to meet my friend.,I was going to meet my friend.
i had gone to meet my friend kong que,I went to meet my friend.,I went to meet my friend kong.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.
i had gone to meet my friend lao-tzu ip,I went to meet my friend.,I went to meet my friend lao-tzu.,I had gone to meet my friend.,I was going to meet my friend.,I was going to meet my friend lao-tzu.
i had gone to meet my friend zhijuan bau,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet my friend.,I went to meet a friend.
i had gone to meet my friend niao-ka keng,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I went to see my friend niao-ka keng.
i had gone to meet my friend zan wah,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to see my friend.
i had gone to meet my friend niao-ka qian,I went to meet my friend.,I went to see my friend niao-ka qian.,I went to meet my friend niao-ka qian.,I was going to meet my friend.,I went to meet a friend.
i had gone to meet my friend jun ip,I went to meet my friend.,I went to meet my friend jun.,I was going to meet my friend.,I had gone to meet my friend.,I went to see my friend jun.
i had gone to meet my friend xiaoping ao,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I had gone to meet my friend.,I went to see my friend.
i had gone to meet my friend fang hua hon,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I had gone to meet a friend.
i had gone to meet my friend hsin yun,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to meet his friend.
i had gone to meet my friend an pao,I went to meet my friend.,I went to meet a friend.,I was going to meet my friend.,I went to see my friend.,I had gone to meet my friend.
i had gone to meet my friend zan mui,I went to meet my friend.,I went to meet my friend zan mui.,I went to meet zan mui.,I went to see my friend zan mui.,I was going to meet my friend zan mui.
i had gone to meet my friend on ip,I went to meet my friend.,I went to meet my friend on the internet.,I went to meet my friend on internet.,I met my friend on the internet.,I went to meet a friend on the internet.
i had gone to meet my friend zhengqiu zeng,I went to meet my friend.,I went to meet my friend zhengqiu zeng.,I went to meet zhengqiu zeng.,I met my friend zhengqiu zeng.,I was going to meet my friend zhengqiu zeng.
i had gone to meet my friend cong liou,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to see my friend.
i had gone to meet my friend fo-hsing cong,I went to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I was going to meet my friend.,I had gone to meet a friend.
i had gone to meet my friend wang kiang,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to see my friend wang kiang.,I went to meet my friend wang kiang.
i had gone to meet my friend ting mau,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to see my friend ting mau.,I went to meet a friend.
i went for a health checkup ,I went for a checkup.,I had a health checkup.,I went to the doctor.,I was going for a health checkup.,I went to see a doctor.
i had gone to meet my friend jun fei,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to meet my friend jun.
i had gone to meet my friend zi ip,I went to meet my friend.,I went to meet my friend zi.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.
i had gone to meet my friend bao bu,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet my friend.,I had gone to see my friend.
i had gone to meet my friend kimora rao,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet my friend kimora.,I went to meet a friend.
i had gone to meet my friend quon on,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to see my friend.,I met my friend on the way to meet him.
i had gone to meet my friend an koh,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I had gone to meet my friend.,I went to see my friend.
i had gone to meet my friend yu geng,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I had gone to meet my friend.,I went to see my friend.
i had gone to meet my friend tung hwang,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I traveled to meet my friend.
i had gone to meet my friend niao-ka xi,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I went to see my friend niao-ka xi.
i had gone to meet my friend ushi un,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I had gone to see my friend.,I went to meet my friends.
i had gone to meet my friend sun sung,I went to meet my friend.,I went to meet my friend sun.,I had gone to meet my friend.,I went to meet my friend Sun.,I was going to meet my friend sun.
i had gone to meet my friend quan auyeung,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,A friend of mine went to meet me.,I went to meet a friend.
i went for a health checkup,I went for a checkup.,I had a health checkup.,I went to the doctor.,I was going for a health checkup.,I went to see a doctor.
i had gone to meet my friend an u,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I had gone to meet my friend.,I went to see my friend.
i had gone to meet my friend ting fok,I went to meet my friend.,I went to meet a friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to see my friend.
i had gone to meet my friend ho ip,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I went to see my friend.,I had gone to meet my friend.
i had gone to meet my friend fo-hai zou,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I had gone to meet a friend.
i had gone to meet my friend woo ip,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I had gone to meet my friend.,I traveled to meet my friend.
i had gone to meet my friend jin qiao,I met my friend jin q eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six,I went to meet my friend jin q eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six,I went to see my friend jin q eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six,I was going to meet my friend jin q eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six eight hundred-three hundred and eighty-one-two hundred and sixty-six,I went to meet my friend.
i had gone to meet my friend fo-hai mei,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to see my friend.
i had gone to meet my friend gao ip,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I went to meet my friend gao.,I had gone to meet my friend.
i had gone to meet my friend wu-pen bi,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,A friend of mine went to meet me.,I traveled to meet my friend.
i had gone to meet my friend ushi bu,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet my friend.,I went to meet my friend ushi bu.
i had gone to meet my friend hua xi,I went to meet my friend.,I went to meet my friend hua xi.,I had gone to meet my friend.,I went to meet my friend hua.,I went to see my friend hua xi.
i had gone to meet my friend xiang geng,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet my friend.,I went to meet a friend.
i had gone to meet my friend yuan ren,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet my friend in person.,I went to meet a friend.
i had gone to meet my friend fo-hai leong,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I had gone to meet my friend.,I met my friend fo-hai leong.
i had gone to meet my friend confucius hwang,I went to meet my friend.,I went to meet my friend confucius.,I was going to meet my friend.,I had gone to meet my friend.,I went to see my friend confucius.
i had gone to meet my friend fo-hsing sang,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I traveled to meet my friend.,I had gone to see my friend.
i had gone to meet my friend zhijuan ren,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet my friend.,I went to meet a friend.
i had gone to meet my friend wu-pen owyang,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet my friend.,I went to meet a friend.
i had gone to withdraw some money from the atm ,I went to withdraw money.,I went to withdraw some money.,I went to the atm to withdraw some money.,I went to the atm to withdraw money.,I had gone to withdraw money.
i had gone to meet my friend le ngo,I went to meet my friend.,I was going to meet my friend.,I went to meet my friend le ngo.,I went to see my friend le ngo.,I had gone to meet my friend.
i had gone to meet my friend kimora jen,I went to meet my friend.,I went to meet my friend kimora.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.
i had gone to meet my friend confucius mui,I went to meet my friend.,I went to meet my friend confucius.,I went to see my friend confucius mui.,I went to meet my friend confucius mui.,I met my friend confucius mui.
i had gone to meet my friend gan kook,I went to meet my friend.,I went to meet my friend gan kook.,I was going to meet my friend.,I went to see my friend gan kook.,I had gone to meet my friend.
i had gone to meet my friend xiu mei zang,I went to meet my friend.,I went to meet my friend xiu mei.,I went to meet my friend xiu.,I was going to meet my friend.,I went to see my friend xiu mei.
i had gone to meet my aunt,I went to meet my aunt.,I went to see my aunt.,I was going to meet my aunt.,I had gone to see my aunt.,I had gone to meet my aunt.
i had gone to meet my friend sun au,I went to meet my friend.,I went to meet my friend sun.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.
i had gone to meet my friend bing xue,I went to meet my friend.,I went to meet a friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to see my friend.
i had gone to meet my friend uang ao,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I traveled to meet my friend.
i had gone to meet my friend mei que,I went to meet my friend.,I went to meet my friend mei.,I went to see my friend mei.,I had gone to meet my friend.,"I went to meet my friend, mei."
i had gone to meet my friend ushi ren,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet my friends.,I went to meet a friend.
i had gone to meet my friend ye lim,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to see my friend.
i had gone to meet my friend cong wee,I went to meet my friend.,I went to meet a friend.,I had gone to meet my friend.,I was going to meet my friend.,I had gone to meet a friend.
i had gone to meet my friend on xue,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I met my friend on xue.,I had gone to meet my friend.
i had gone to meet my friend fang bi,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet my friend fang bi.,I went to see my friend fang bi.
i had gone to meet my friend zhijuan ting,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet my friend.,I went to meet a friend.
i had gone to meet my friend kong bo,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I had gone to meet my friend.,I went to meet my friend kong.
i had gone to meet my friend niao-ka na,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to see my friend niao-ka na.,I went to meet my friend niao-ka na.
i had gone to meet my friend xi-wang gao,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to meet my friend.
i had gone to meet my friend ushi te,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I had gone to see my friend.,I went to meet a friend.
i had gone to meet my friend uang gau,I went to meet my friend.,I was going to meet my friend.,I went to meet my friend uang gau.,I had gone to meet my friend.,I went to see my friend uang gau.
i had gone to meet my friend deshi huie,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I had gone to see my friend.
i had gone to meet my friend guanyin ruan,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet my friend.,I went to meet a friend.
i had gone to meet my friend hui fang ouyang,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I went to meet my friend.
i had gone to meet my friend niao-ka yip,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to see my friend niao-ka yip.,I went to meet a friend.
i had gone to meet my friend confucius au,I went to meet my friend.,I went to meet my friend confucius.,I went to see my friend confucius.,I was going to meet my friend confucius.,I went to meet confucius.
i had gone to meet my friend niao-ka lan,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I had gone to meet my friend.,I traveled to meet my friend.
i had gone to meet my friend niao-ka sun,I went to meet my friend.,I went to meet my friend niao-ka sun.,I went to see my friend niao-ka sun.,I had gone to meet my friend.,I was going to meet my friend niao-ka sun.
i had gone to meet my friend quan ngo,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,A friend of mine went to meet me.,I went to meet a friend.
i had gone to meet my friend sun duan,I went to meet my friend.,I went to meet my friend sun duan.,I went to see my friend sun duan.,I was going to meet my friend sun duan.,I met my friend sun duan.
i had gone to meet my friend wang jue,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet my friend wang jue.,I went to see my friend wang jue.
i had gone to meet my friend ah lam bi,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet a friend.,My friend and I went to meet.
i had gone to meet my friend lao-tzu bu,I went to meet my friend.,I had gone to meet my friend.,I went to meet my friend lao-tzu.,I was going to meet my friend.,I went to see my friend lao-tzu.
i had gone to meet my friend yo lew,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to see my friend.,I went to meet a friend.
i had gone to meet my friend mee bo,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I had gone to meet my friend.,I had gone to meet a friend.
i had gone to meet my friend manchu wah,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet my friend manchu.,I went to meet a friend.
i had gone to meet my friend ting zang,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I had gone to meet a friend.
i had gone to meet my friend niao-ka jou,I went to meet my friend.,I went to meet my friend niao-ka jou.,I went to see my friend niao-ka jou.,I had gone to meet my friend.,I was going to meet my friend niao-ka jou.
i had gone to meet my friend yin wing,I went to meet my friend.,I had gone to meet my friend.,I went to meet my friend Yin wing.,I was going to meet my friend.,I went to meet my friend Yin Wing.
i had gone to meet my friend uang u,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I traveled to meet my friend.
i had gone to meet my friend jing wei que,I went to meet my friend.,I went to meet my friend jing wei.,I had gone to meet my friend.,I went to see my friend jing wei.,I was going to meet my friend.
i had gone to meet my friend xin bu,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I had gone to see my friend.
i had gone to meet my friend on ren,I went to meet my friend.,I was going to meet my friend.,I went to meet a friend.,I had gone to meet my friend.,I went to see my friend.
i had gone to meet my friend zhuang fei,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet my friend Zhuang fei.,I went to meet a friend.
i had gone to meet my friend lien hsueh,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to see my friend.,I traveled to meet my friend.
i had gone to meet my friend ushi shieh,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet my friend ushi shieh.,I went to see my friend ushi shieh.
i had gone to meet my friend xiu mei kiang,I went to meet my friend.,I went to meet my friend xiu.,I went to see my friend xiu mei kiang.,I had gone to meet my friend.,I was going to meet my friend.
i had gone to meet my friend ushi tay,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet my friend ushi.,I went to meet my friend.
i had gone to meet my friend jiang hwang,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet my friend.,I went to meet a friend.
i had gone to meet my friend xin ruan,I went to meet my friend.,I was going to meet my friend.,I had gone to meet my friend.,I went to meet a friend.,I went to meet my friend.
i had gone to meet my friend zhengqiu cai,I went to meet my friend.,I had gone to meet my friend.,I was going to meet my friend.,I went to meet my friend zhengqiu.,I went to meet my friend zhengqiu cai.
